

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-04-12T14:47:45PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
147|WISEA J100101.89+565354.8|150.25803 |  56.89838 |QSO|727510| 2.426713 |SLS |20.0g|  0.000|28|0|42|7|12|8|0
148|WISEA J100102.13+505826.8|150.25891 |  50.97412 |VisS|243661| 0.812765 |SLS |19.4R|  0.000|7|0|25|5|4|4|0
149|SBS 0957+599|150.26064 |  59.73735 |QSO|223630| 0.745949 |SLS |16.1g|  0.000|61|0|61|18|27|8|0
150|WISEA J100102.76+500422.0|150.26152 |  50.07280 |QSO|646214| 2.155539 |SLS |19.3g|  0.000|32|0|43|9|14|8|1
151|WISEA J100102.83+412034.4|150.26207 |  41.34290 |*|900083| 3.002352 |SLS |21.5g|  0.000|10|0|17|5|4|4|0
152|WISEA J100103.04+450503.6|150.26267 |  45.08442 |QSO|476652| 1.589940 |SLS |20.5g|  0.000|20|0|42|7|11|6|0
153|WISEA J100103.76+363504.9|150.26569 |  36.58471 |*|282704| 0.943000 |SUN |19.4g|  0.000|6|0|21|4|2|4|0
154|WISEA J100103.93+321243.8|150.26638 |  32.21217 |QSO|298959| 0.997219 |SLS |21.2g|  0.000|13|0|17|5|5|4|0
155|[HB89] 0957+558 NED01|150.26803 |  55.58937 |QSO|459025| 1.531143 |SLS |19.0g|  0.000|59|0|86|19|20|11|0
156|WISEA J100104.33+463024.0|150.26806 |  46.50668 |QSO|844587| 2.817239 |SLS |19.3g|  0.000|30|0|38|9|14|8|1
157|WISEA J100104.50+452548.4|150.26907 |  45.43049 |*|924797| 3.084789 |SLS |21.2g|  0.000|10|0|17|6|5|4|0
158|SDSS J100105.08+441008.2|150.27121 |  44.16897 |*|879891| 2.935000 |PUN |22.2g|  0.000|2|0|11|3|1|4|0
159|SDSS J100105.94+433106.2|150.27475 |  43.51840 |QSO|913468| 3.047000 |SLS |     |  0.000|1|0|0|1|2|0|0
160|SDSS J100105.94+433106.3|150.27476 |  43.51843 |QSO|913922| 3.048516 |SLS |     |  0.000|7|0|0|2|3|0|0
161|WISEA J100106.00+594013.2|150.27500 |  59.67034 |QSO|290664| 0.969550 |SLS |18.4g|  0.000|30|0|45|8|14|8|0
162|WISEA J100106.10+443300.0|150.27544 |  44.55000 |QSO|673366| 2.246107 |SLS |19.5g|  0.000|32|0|44|12|15|8|0
163|WISEA J100106.15+312834.7|150.27560 |  31.47634 |QSO|800242| 2.669320 |SLS |18.6g|  0.000|29|0|38|10|14|8|0
164|WISEA J100106.46+402341.7|150.27694 |  40.39493 |QSO|548070| 1.828166 |SLS |19.3g|  0.000|25|0|38|9|12|8|0
165|WISEA J100107.28+422508.5|150.28037 |  42.41903 |QSO|116929| 0.390034 |SLS |19.0g|  0.000|22|0|55|8|9|8|0
166|WISEA J100107.89+362046.1|150.28291 |  36.34614 |QSO|488779| 1.630390 |SLS |19.7g|  0.000|20|0|44|7|9|8|0
167|WISEA J100108.47+440241.8|150.28530 |  44.04495 |QSO|192996| 0.643764 |SLS |19.3g|  0.000|31|0|43|11|16|8|0
168|WISEA J100108.93+411433.3|150.28723 |  41.24260 |*|217301| 0.724838 |SLS |20.2g|  0.000|8|0|17|4|4|4|0
169|WISEA J100109.34+332201.6|150.28881 |  33.36717 |QSO|606973| 2.024644 |SLS |20.7g|  0.000|16|0|17|6|6|4|0
170|SBS 0957+557|150.28969 |  55.47690 |QSO|626866| 2.091000 |SUN |17.5 |  0.000|32|1|0|2|1|0|0
171|WISEA J100109.96+424349.7|150.29155 |  42.73045 |QSO|568869| 1.897544 |SLS |20.2g|  0.000|22|0|46|8|11|8|0
172|WISEA J100110.07+371832.3|150.29200 |  37.30900 |QSO|278634| 0.929424 |SLS |19.3g|  0.000|25|0|45|8|12|8|0
